DEP,PC9,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
0,0.00049,-0.19757,-1.27453,1.57498,1.33215,-0.69961,-1.07609,0.28853,0.11251
0,-0.00048,0.10828,-0.83615,1.93379,1.45474,-1.68057,-1.19802,-0.30925,0.06977
0,-0.0003,-0.18938,-0.00273,1.80774,0.08572,0.98614,0.10899,-0.27055,-0.04004
0,-0.00077,-0.15769,-1.4413,1.80372,1.37928,-0.44112,-1.47411,0.17423,0.04686
0,-0.001,0.04561,-0.26235,-0.26947,-0.77302,-1.39017,-0.55829,1.30581,-0.02104
0,0.001,0.02873,-0.02708,0.13992,0.24433,-1.26439,-0.14937,1.03665,0.01766
0,-0.00097,-0.02598,-0.46186,0.12675,-0.90147,-1.88633,0.25264,1.46619,0.0854
0,-0.00017,-0.0851,0.06534,0.781,-0.40296,-1.06693,-0.43551,-0.57961,0.16722
0,0.00019,-0.16573,0.18699,1.41557,-0.89514,-0.14684,0.55057,0.41384,0.0414
0,-0.00031,0.05254,0.02827,0.82357,-1.11706,-0.08487,0.04421,0.13755,-0.1113
0,-0.00069,0.20321,-0.11273,-0.46802,0.23667,1.10305,-0.37512,-0.17575,-0.32235
0,0.00035,0.09181,-0.65051,-1.40532,-0.3736,0.92976,-0.26247,1.53548,-0.35185
0,-0.00012,0.21375,0.04968,-0.82731,0.40835,0.88919,-0.62259,0.21128,-0.32404
0,0.00028,-0.11963,-0.08013,-0.4783,0.03112,-0.91241,-0.19378,0.42076,0.12259
0,0.00009,0.14931,-0.05373,-0.70381,0.18419,-0.58317,-0.18088,1.19506,-0.15905
0,0.00109,0.23736,-0.44156,0.00121,-0.34948,-1.68012,1.08741,1.1963,-0.08421
0,0.00049,0.12441,-0.36457,0.31968,-0.3788,-1.33492,0.61364,1.03949,-0.04776
0,-0.00078,-0.08273,-0.02884,-0.18899,0.1141,1.34385,-0.52473,-0.20157,-0.15447
0,-0.0006,0.06807,0.67693,-0.54277,-0.19199,-1.41824,0.56189,0.07276,0.10965
0,-0.00059,0.08982,-0.20346,0.52813,0.79394,1.23183,-0.95945,-0.4199,-0.25663
0,0.00036,0.17127,-0.43814,0.6356,0.64805,0.42431,-0.84679,-0.6622,-0.20147
0,0.0013,-0.14612,0.34989,0.2268,0.84762,0.96733,-1.08885,-0.27968,-0.05294
0,0.00015,0.1642,0.26278,0.2758,0.4676,0.29853,-0.92571,-0.24201,-0.19415
0,0.00023,-0.19078,-0.40027,0.33829,1.29538,-0.16434,-0.82064,-0.57121,0.14005
0,-0.00007,0.12041,0.56754,0.41388,0.98759,1.23304,-1.044,-0.41559,-0.25895
0,0.00167,-0.1921,-0.554,0.14435,0.75505,-0.74315,-0.22084,0.14876,0.16286
0,0.00099,0.14714,0.148,-0.20983,0.45394,0.7485,-1.05459,0.46427,-0.28975
0,-0.00037,0.00232,0.37609,-0.51199,-0.06439,1.39051,-0.28944,0.12437,-0.22892
0,-0.0002,0.01102,0.25815,-0.52223,0.31425,-0.19899,-0.27465,-0.18962,-0.0047
0,-0.00041,0.01019,0.16479,-0.67674,-0.01993,0.79534,-0.96773,0.15222,-0.17534
0,0.00193,-0.02009,0.53306,0.11524,0.02909,0.38826,-0.1275,1.30542,-0.17071
0,-0.00006,-0.04136,0.40777,-0.53054,0.00563,-0.37605,0.1035,0.15686,0.03587
0,-0.00048,0.3517,0.49323,1.28693,0.01752,0.98946,-0.04726,0.08554,-0.43632
0,-0.00021,0.15344,0.04908,-0.01305,0.46625,-0.20227,0.96505,-0.60946,-0.06086
0,-0.00067,-0.06946,-0.40874,0.37007,0.41173,0.28841,-1.02497,-0.32824,-0.03963
0,0.00005,-0.16021,-0.37239,0.18747,-0.55841,-0.87788,1.55674,1.07416,0.10944
0,0.00103,0.23386,-0.10001,-0.24153,-0.04918,-0.32258,0.68695,0.72888,-0.21394
