DEP,PC10,PC9,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
"0",0.00055,-0.19100,-1.26307,-0.62163,-1.92195,0.90657,-0.31798,-1.18279,-0.12115,0.10384
"0",-0.00036,0.15717,-0.82133,-0.80629,-2.26757,1.27235,-1.23519,-1.46758,0.57485,0.02559
"0",-0.00021,-0.18156,0.01025,-1.16698,-1.44226,-0.99705,0.55171,-0.20704,0.41344,-0.05103
"0",-0.00085,-0.00217,-1.42274,-0.69442,-2.24564,0.66420,-0.14892,-1.73426,0.19210,-0.06516
"0",-0.00079,0.24337,-0.11778,-0.13777,0.59158,0.07300,-1.48062,-1.21820,-0.46575,-0.11998
"0",0.00110,0.03630,-0.01127,0.17951,-0.49558,0.20977,-1.34520,-0.67497,-0.85368,0.01150
"0",-0.00111,-0.03672,-0.49131,-0.77475,0.94096,0.83731,-1.63356,0.23745,-1.60157,0.10243
"0",-0.00017,-0.09174,0.06791,-0.84148,-0.13861,0.28597,-0.98935,-0.59451,0.69727,0.16373
"0",0.00010,-0.18613,0.16834,-1.67565,0.00614,-0.20737,-0.38905,0.58078,-0.52219,0.07690
"0",-0.00041,0.04459,0.00818,-1.35826,0.54952,-0.18727,-0.11025,0.16111,-0.22429,-0.10455
"0",-0.00093,0.18308,-0.15428,-0.10999,0.91399,1.09877,1.89840,0.81049,-0.25563,-0.29474
"0",0.00015,0.09031,-0.68377,0.58026,1.60252,0.41204,1.33768,0.38551,-1.83826,-0.33376
"0",-0.00044,0.06919,0.01305,0.33681,0.91822,1.18020,1.70700,0.39458,-0.57294,-0.21015
"0",-0.00016,-0.01038,-0.09154,0.21983,0.47533,0.79341,-0.59336,-0.03110,-0.47841,0.05095
"0",-0.00000,0.14149,-0.07021,0.40873,0.61686,0.91425,-0.15774,0.10219,-1.34786,-0.14250
"0",0.00099,0.22863,-0.46056,-0.37673,0.54028,0.76711,-1.54080,1.12590,-1.41632,-0.06509
