DEP,PC1 (1),PC2 (1),PC3 (1),PC4 (1),PC5 (1),PC6 (1),PC7 (1),PC8 (1),PC9 (1),PC10 (1),PC11 (1)
"0",-1.04356,-0.63926,0.60101,-1.21621,0.48216,-0.50015,-0.30444,1.59480,-1.83708,0.39215,0.25856
"0",2.21946,2.00759,0.15335,-0.95128,0.75255,0.22259,1.87747,1.08168,-0.65974,-0.38108,-0.56847
"0",0.44321,0.48955,-0.63256,0.30108,0.59158,-1.25526,0.90586,-1.60946,1.49608,0.33353,-1.32491
"0",0.47882,0.84342,-0.03586,-0.11640,-2.43768,-0.53480,0.18155,-0.57897,0.40079,-0.26190,-0.57482
"0",-2.11159,-0.14046,0.58024,-0.71310,-0.72438,0.44508,-0.37445,0.19024,-0.74956,-0.08495,0.66260
"0",-1.83285,-0.48621,1.14682,-0.83638,0.28779,0.65754,-0.36148,0.03572,-0.07341,-0.49328,0.67341
"0",-0.29505,-1.50738,-0.50204,1.01255,0.79409,-0.05757,0.19407,0.45858,-0.37597,1.00235,-0.21152
"0",3.06314,-1.42249,0.34463,-0.90324,-1.30488,-0.58296,-0.99812,0.78956,-0.06742,-0.53178,0.86783
"0",0.46248,-0.71306,0.45609,-0.28984,0.11351,1.03130,-0.12610,-0.13840,0.41140,-0.83493,-0.39609
"0",-1.86388,0.14291,-0.66233,0.02416,-0.21879,-0.55227,0.14732,-0.22377,-1.55384,-0.70054,0.48812
"0",0.80211,-0.53876,0.52437,-0.95528,0.43784,0.97946,-0.18362,-0.19792,0.53390,0.17126,-0.50184
"0",-2.59501,-1.43421,-0.84548,0.29383,1.67110,0.37128,0.14281,0.13223,0.34136,-0.30170,-0.60105
"0",1.01690,1.10845,0.34446,0.99121,-1.55333,0.37870,0.93602,-1.13605,0.64096,-0.26875,0.13690
"0",-1.77081,0.30487,1.45480,0.74412,-2.14446,-0.04382,0.01692,-0.14665,-0.39218,-0.63378,0.83188
"0",-1.87564,-0.42294,0.78680,-0.76562,-0.80741,-0.31896,-0.70354,-0.86868,0.75689,-1.01219,0.13548
"0",0.80989,0.08680,1.58887,0.83435,-1.07031,0.24975,0.27654,-0.14830,-0.69578,-0.24025,0.16514
"0",-1.07775,-1.51245,-0.22763,-0.54482,1.50974,-0.13157,0.11333,1.29172,0.97376,0.71792,-0.54673
"0",-0.48854,-0.61196,0.02142,0.73961,-0.95916,-0.37188,-0.02840,-0.36926,0.19737,-0.54651,-0.61782
"0",-1.34974,-0.86174,-0.72579,-0.28139,-1.18678,0.86996,-0.31167,0.61585,0.50809,-0.18223,-0.60541
"0",-1.72630,0.62359,-0.72996,0.93042,-2.11294,0.60116,0.83016,0.60346,-0.07683,0.02409,-0.59840
"0",-0.79742,-0.19121,0.63531,-1.96171,1.14954,-0.52811,-0.06499,1.45392,-1.18701,-0.47937,-0.33559
"0",5.13541,-0.75766,-0.23779,-0.94782,1.01419,0.94624,0.04738,-0.49180,1.04446,-0.40405,0.39876
"0",0.49984,0.28973,-0.91323,-1.05783,0.31701,0.83066,-1.61260,1.50341,0.15756,0.65400,-0.03552
"0",-2.53608,0.03699,-1.11439,0.57551,-0.41468,0.40655,0.57285,-0.02626,-0.14764,-0.78208,-0.73716
"0",0.98826,0.64001,-0.29532,-0.94137,-0.41021,0.79679,0.21022,-0.70975,-0.10133,0.43538,-0.08686
"0",-0.95274,0.40364,-0.64638,0.07055,-1.58941,-0.27020,0.01974,-1.28794,0.52013,-0.31118,-0.35307
"0",-2.52653,0.09282,-0.75079,-0.08425,-0.96994,-0.56520,0.23959,0.48722,-0.39957,-0.44663,-0.76939
"0",1.03016,1.46328,-0.81940,0.13590,0.62559,0.32487,1.81529,0.05046,-0.03829,0.71171,-1.69538
"0",0.01610,-0.29145,1.64667,0.55415,-1.27680,-1.72236,-0.14699,-0.21550,-0.12300,-0.31805,-0.06676
"0",5.89542,-1.56444,-0.64927,0.20011,-0.31338,-1.02766,-0.28317,-0.00832,0.45224,-0.07142,0.41721
"0",-1.01022,0.15232,0.03555,-1.44164,0.83056,-0.62648,0.23407,0.93508,-0.92115,-0.54412,-0.32112
"0",4.18416,-0.39599,-0.13636,-1.09600,-1.10781,-0.65467,-0.19051,0.02885,1.59693,-0.57827,-0.47750
"0",0.21982,-1.22306,1.59425,-0.30959,-0.99309,-1.20143,-0.89262,0.02656,0.28564,0.19039,-0.62998
