DEP,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
"1",-0.33863,-0.84017,-1.91743,0.48923,-1.69037,-1.53617,4.98547,0.39589
"0",0.41865,-0.61162,-0.45708,0.05914,-1.98078,-0.62816,0.35458,0.07635
"1",0.10361,-0.30133,-1.25346,1.09882,-1.79375,-0.30949,0.63523,0.28728
"0",0.00792,-0.45550,-0.42747,0.06560,-1.59306,-0.39400,0.36089,0.10383
"1",-0.10091,-0.57371,0.33191,-1.00199,-1.41616,-0.62000,0.33124,-0.06298
"0",-0.02725,-0.63285,0.23993,-0.96519,-1.48733,-0.72303,0.61118,-0.12951
"0",-0.08129,-0.68051,0.54614,-1.38565,-1.40742,-0.79546,0.58517,-0.16783
"0",-0.08646,-0.68664,0.54892,-1.38536,-1.40589,-0.79045,0.57896,-0.15247
"0",0.33656,-0.06524,0.08968,-0.72683,-1.40352,-0.41533,0.79993,0.03013
"1",-0.18178,0.65306,-0.72114,1.10142,-1.31356,0.62852,-2.05487,0.09702
"0",-0.07985,-0.55321,0.08195,-0.64206,-1.46429,-0.53038,0.33075,-0.04244
"0",0.10188,-0.63688,-0.02236,-0.65061,-1.44699,-0.78240,0.37031,-0.18633
"0",-0.17653,-0.60424,0.52934,-1.38609,-1.35236,-0.79703,0.54887,-0.15381
"1",0.21989,-0.66718,0.05674,-0.68316,-1.71320,-0.72574,0.53497,-0.05468
"1",0.27945,-0.69238,0.03176,-0.69315,-1.75342,-0.78748,0.67386,-0.12703
"1",0.49193,-0.75636,-0.45745,0.00644,-1.96754,-0.66029,0.83525,0.07148
"1",-0.07686,-0.67933,0.54300,-1.38832,-1.42379,-0.81619,0.57409,-0.15275
"1",-0.02846,-0.14033,-0.92307,0.62013,-1.64375,-0.37881,0.42423,0.17093
"1",0.10295,-0.29900,-0.76843,0.49843,-1.70829,-0.37932,0.36531,0.17511
"0",-0.12765,-0.55131,0.27262,-1.03156,-1.42262,-0.73283,0.56848,-0.04694
"1",-0.03473,-0.63918,0.37953,-1.18381,-1.50365,-0.83146,0.56829,-0.07160
"0",0.52929,-0.23314,0.84754,0.97827,-1.56546,-0.71434,0.29439,0.11046
"0",0.55922,-0.15096,0.80672,1.80389,-1.56857,-0.75650,0.43705,0.07936
"0",0.55859,-0.18100,0.98868,-0.07384,-1.55081,-0.53659,-0.38293,-0.05212
"1",0.31364,0.10355,0.58385,-0.97752,-0.68268,0.51910,0.98905,-0.03377
"0",-0.14081,-0.79665,-0.06774,-0.73213,-1.20000,-0.46590,2.00313,0.03133
"1",-0.62165,0.97407,0.41997,-0.99837,-0.42455,-0.18273,-2.10323,-0.25959
"0",1.00071,-0.61780,-0.06791,-0.54648,-1.21642,-0.73337,0.16294,-0.16722
"0",1.02339,-0.56708,-0.18071,-0.34334,-1.34985,-0.67440,0.11250,0.02194
"0",0.69696,-0.50656,0.05512,-0.64705,-1.33174,-0.64763,0.10803,-0.06865
"0",0.97481,-0.63475,-0.17063,-0.32820,-1.23011,-0.58393,0.12625,0.03921
